county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero
01091,20306,2.0833333,45.65,51.65,0.15,0.1,5488.0,0.0,0.0,69.0,5343.0,10831.0,1.3387498845905272,Swing (Campo de Batalla),1.3387498845905272
04013,4018143,29.201862,58.12979,4.901424,1.7875137,3.6398685,1040774.0,0.0,31705.0,0.0,995665.0,2036439.0,2.2150921289564773,Swing (Campo de Batalla),2.2150921289564773
05041,12379,5.62,45.94,47.24,0.0,0.04,2016.0,10.0,18.0,199.0,1921.0,3937.0,2.413004826009652,Swing (Campo de Batalla),2.413004826009652
05143,216432,15.215625,74.21875,2.928125,0.91875,2.26875,43824.0,313.0,1414.0,1211.0,47504.0,91328.0,-4.029432375613175,Swing (Campo de Batalla),4.029432375613175
06007,222564,15.441176,73.30981,1.3372549,0.7117647,4.3333335,50426.0,507.0,1774.0,629.0,48730.0,99156.0,1.7104360805195853,Swing (Campo de Batalla),1.7104360805195853
06027,18373,18.8,67.61667,1.25,8.683333,1.4333333,4634.0,45.0,128.0,57.0,4620.0,9254.0,0.15128593040847202,Swing (Campo de Batalla),0.15128593040847202
06099,527367,44.320213,45.07553,2.31383,0.4968085,4.731915,105841.0,742.0,2494.0,1732.0,104145.0,209986.0,0.8076728924785461,Swing (Campo de Batalla),0.8076728924785461
08003,16269,43.1,52.1,1.1,1.125,0.85,3759.0,23.0,90.0,123.0,3813.0,7572.0,-0.7131537242472267,Swing (Campo de Batalla),0.7131537242472267
08045,57076,27.89091,68.84545,0.38181818,0.7181818,0.8272727,15427.0,99.0,424.0,237.0,14717.0,30144.0,2.3553609341825905,Swing (Campo de Batalla),2.3553609341825905
08049,14411,7.3,87.0,1.3333334,0.16666667,1.7333333,4710.0,31.0,174.0,72.0,4883.0,9593.0,-1.8033983112686331,Swing (Campo de Batalla),1.8033983112686331
08055,6502,36.4,62.35,0.35,0.1,0.2,2076.0,12.0,71.0,44.0,2203.0,4279.0,-2.9679831736387006,Swing (Campo de Batalla),2.9679831736387006
08101,161519,42.61852,52.262962,1.9722222,0.5037037,0.7259259,43772.0,205.0,1200.0,872.0,42252.0,86024.0,1.766948758486004,Swing (Campo de Batalla),1.766948758486004
09015,117470,10.424,84.612,1.7,0.052,1.16,26706.0,307.0,914.0,14.0,29141.0,55847.0,-4.360126774938672,Swing (Campo de Batalla),4.360126774938672
10001,169509,6.778125,63.459373,23.609375,0.4875,2.11875,44552.0,420.0,1044.0,0.0,41009.0,85561.0,4.140905319012167,Swing (Campo de Batalla),4.140905319012167
