county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero,state_code,state_name,perc_white,perc_hispanic,perc_black,perc_native,perc_asian,Professional
01091,20306,2.0833333,45.65,51.65,0.15,0.1,5488.0,0.0,0.0,69.0,5343.0,10831.0,1.3387498845905272,Swing (Campo de Batalla),1.3387498845905272,01,Alabama,0.22481040086673887,0.010259693194129815,0.2543583177385994,0.0007386979217965133,0.0004924652811976756,28.03333333333333
04013,4018143,29.201862,58.12979,4.901424,1.7875137,3.6398685,1040774.0,0.0,31705.0,0.0,995665.0,2036439.0,2.2150921289564773,Swing (Campo de Batalla),2.2150921289564773,04,Arizona,0.0014466829577742754,0.0007267501928129486,0.0001219823186979657,4.4486064831440794e-05,9.058583778626097e-05,35.4
05041,12379,5.62,45.94,47.24,0.0,0.04,2016.0,10.0,18.0,199.0,1921.0,3937.0,2.413004826009652,Swing (Campo de Batalla),2.413004826009652,05,Arkansas,0.371112367719525,0.045399466839001534,0.38161402374989906,0.0,0.00032312787785766214,26.639999999999997
05143,216432,15.215625,74.21875,2.928125,0.91875,2.26875,43824.0,313.0,1414.0,1211.0,47504.0,91328.0,-4.029432375613175,Swing (Campo de Batalla),4.029432375613175,05,Arkansas,0.03429194851038663,0.007030210412508317,0.0013529076107045169,0.0004244982257706809,0.0010482507207806608,34.946875
06007,222564,15.441176,73.30981,1.3372549,0.7117647,4.3333335,50426.0,507.0,1774.0,629.0,48730.0,99156.0,1.7104360805195853,Swing (Campo de Batalla),1.7104360805195853,06,California,0.03293875469527866,0.0069378587732068075,0.000600840612138531,0.000319802259125465,0.0019470055804173183,33.06666666666667
06027,18373,18.8,67.61667,1.25,8.683333,1.4333333,4634.0,45.0,128.0,57.0,4620.0,9254.0,0.151285930408472,Swing (Campo de Batalla),0.151285930408472,06,California,0.3680219343602025,0.10232406248299133,0.006803461601262723,0.04726137810918195,0.007801302454688945,32.38333333333333
06099,527367,44.320213,45.07553,2.31383,0.4968085,4.731915,105841.0,742.0,2494.0,1732.0,104145.0,209986.0,0.8076728924785461,Swing (Campo de Batalla),0.8076728924785461,06,California,0.00854727921921546,0.008404055050846944,0.000438751381865001,9.420545843786206e-05,0.0008972717291753182,24.678723404255322
08003,16269,43.1,52.1,1.1,1.125,0.85,3759.0,23.0,90.0,123.0,3813.0,7572.0,-0.7131537242472267,Swing (Campo de Batalla),0.7131537242472267,08,Colorado,0.3202409490441945,0.2649210154281148,0.0067613252197430695,0.006914991702009957,0.00522466039707419,30.475
08045,57076,27.89091,68.84545,0.38181818,0.7181818,0.8272727,15427.0,99.0,424.0,237.0,14717.0,30144.0,2.3553609341825905,Swing (Campo de Batalla),2.3553609341825905,08,Colorado,0.12062066367650151,0.04886626603125657,0.0006689645034690588,0.0012582903497091597,0.001449423049968463,30.954545454545453
08049,14411,7.3,87.0,1.3333334,0.16666667,1.7333333,4710.0,31.0,174.0,72.0,4883.0,9593.0,-1.8033983112686327,Swing (Campo de Batalla),1.8033983112686327,08,Colorado,0.6037055027409618,0.05065574908056346,0.009252192075497883,0.001156523974741517,0.012027848865450004,32.666666666666664
08055,6502,36.4,62.35,0.35,0.1,0.2,2076.0,12.0,71.0,44.0,2203.0,4279.0,-2.967983173638701,Swing (Campo de Batalla),2.967983173638701,08,Colorado,0.9589357120885881,0.5598277453091357,0.005382959089510919,0.0015379883112888342,0.0030759766225776685,31.2
08101,161519,42.61852,52.262962,1.9722222,0.5037037,0.7259259,43772.0,205.0,1200.0,872.0,42252.0,86024.0,1.766948758486004,Swing (Campo de Batalla),1.766948758486004,08,Colorado,0.03235716045790279,0.026386072226796845,0.0012210465641813038,0.00031185414719011386,0.00044943684643911866,28.130188679245286
09015,117470,10.424,84.612,1.7,0.052,1.16,26706.0,307.0,914.0,14.0,29141.0,55847.0,-4.360126774938672,Swing (Campo de Batalla),4.360126774938672,09,,0.07202860304758661,0.008873755001276922,0.001447178002894356,4.426662126500383e-05,0.0009874861666808548,32.176
10001,169509,6.778125,63.459373,23.609375,0.4875,2.11875,44552.0,420.0,1044.0,0.0,41009.0,85561.0,4.140905319012167,Swing (Campo de Batalla),4.140905319012167,10,,0.0374371702977423,0.0039986814859388,0.013928095263378345,0.0002875953489195264,0.001249933631842557,31.890625
12031,890673,7.66763,54.421967,31.510983,0.20462428,3.581503,252556.0,772.0,4788.0,942.0,233762.0,486318.0,3.864549533432857,Swing (Campo de Batalla),3.864549533432857,12,Florida,0.006110207337597524,0.000860880480266046,0.0035378846108504464,2.2974119570257545e-05,0.00040211199845510085,33.22485549132948
12103,931477,8.388934,75.990166,10.170492,0.23114754,3.0450819,277450.0,912.0,4268.0,876.0,276209.0,553659.0,0.2241451868388304,Swing (Campo de Batalla),0.2241451868388304,12,Florida,0.008158029237436889,0.0009006055973470093,0.001091867217333332,2.4815163444722738e-05,0.00032690897359784513,37.18893442622951
12111,288006,14.827907,61.516277,20.427906,0.16976744,1.3186047,84137.0,209.0,768.0,224.0,86831.0,170968.0,-1.5757334705909878,Swing (Campo de Batalla),1.5757334705909878,12,Florida,0.021359373415831617,0.005148471559620286,0.007092875148434408,5.8945799740283185e-05,0.00045783931584758656,27.75581395348837
12117,437346,17.923256,63.12093,13.136046,0.14534883,3.5465117,132528.0,406.0,2215.0,425.0,125241.0,257769.0,2.8269497107875656,Swing (Campo de Batalla),2.8269497107875656,12,Florida,0.014432721460811348,0.004098186790321622,0.003003582060885432,3.323428818372639e-05,0.0008109166883885985,41.69767441860465
