county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN
01001,55221,2.85,73.15,20.825,0.56666666,0.7,7503.0,0.0,0.0,429.0,19838.0
01003,195121,4.064516,83.45484,9.625807,0.6,0.65806454,24578.0,0.0,0.0,1557.0,83544.0
01005,26932,4.8,46.61111,46.488888,0.14444445,0.33333334,4816.0,0.0,0.0,80.0,5622.0
01007,22604,2.475,77.5,17.725,0.45,0.15,1986.0,0.0,0.0,84.0,7525.0
01009,57710,8.888889,87.8,1.3555555,0.2777778,0.12222222,2640.0,0.0,0.0,237.0,24711.0
01011,10678,2.7666667,22.0,72.46667,1.3666667,0.23333333,3446.0,0.0,0.0,21.0,1146.0
01013,20354,1.1333333,56.622223,40.366665,0.06666667,0.4888889,3965.0,0.0,0.0,65.0,5458.0
01015,116648,3.024138,68.38276,25.413794,0.14827587,0.85172415,15216.0,0.0,0.0,666.0,35101.0
01017,34079,0.47777778,55.044445,42.61111,0.15555556,0.65555555,6365.0,0.0,0.0,166.0,8753.0
01019,26008,1.4833333,91.63333,4.85,0.56666666,0.28333333,1624.0,0.0,0.0,94.0,10583.0
01021,43819,6.0666666,81.91111,10.433333,0.41111112,0.2777778,3073.0,0.0,0.0,152.0,16085.0
01023,13395,0.275,53.475,45.525,0.025,0.0,3127.0,0.0,0.0,41.0,4296.0
01025,25070,0.5,55.177776,43.677776,0.06666667,0.23333333,5755.0,0.0,0.0,56.0,7324.0
01027,13537,2.6,81.725,13.35,0.575,0.0,1267.0,0.0,0.0,62.0,5601.0
01029,15002,2.375,92.55,2.9,0.225,0.3,675.0,0.0,0.0,68.0,6484.0
01031,50884,4.892857,75.185715,14.992857,1.3428571,0.8428571,5076.0,0.0,0.0,300.0,16899.0
01033,54444,2.357143,78.307144,15.921429,0.55714285,0.3,8343.0,0.0,0.0,340.0,19203.0
01035,12865,2.06,54.86,39.48,0.46,0.06,2966.0,0.0,0.0,33.0,3442.0
01037,11027,2.2333333,65.9,30.0,0.06666667,0.0,1796.0,0.0,0.0,52.0,3631.0
01039,37886,1.3714286,82.042854,14.25,0.5214286,0.32142857,2721.0,0.0,0.0,123.0,14586.0
01041,13938,1.5666667,70.4,24.166666,0.8666667,1.2333333,1700.0,0.0,0.0,53.0,4864.0
01043,80965,3.9722223,92.611115,1.0166667,0.38333333,0.55,4478.0,0.0,0.0,493.0,36880.0
01045,49866,5.357143,71.0,19.278572,0.49285713,0.96428573,5170.0,0.0,0.0,265.0,14303.0
01047,42154,0.41333333,30.4,67.486664,0.14666666,0.35333332,12230.0,0.0,0.0,110.0,5524.0
01049,71068,13.207143,81.442856,1.9785714,1.1071428,0.32857144,4281.0,0.0,0.0,308.0,24767.0
01051,80763,3.1066666,73.54,21.053333,0.17333333,0.47333333,10367.0,0.0,0.0,499.0,30164.0
01053,37935,1.1111112,57.955555,36.6,2.788889,0.16666667,4918.0,0.0,0.0,123.0,10869.0
01055,103766,4.4533334,72.17667,20.753334,0.28,0.55,11567.0,0.0,0.0,633.0,35528.0
01057,16896,0.62,87.5,10.24,0.0,0.32,1395.0,0.0,0.0,71.0,7300.0
01059,31634,12.666667,82.13333,3.5222223,0.6333333,0.07777778,2086.0,0.0,0.0,116.0,10376.0
01061,26815,3.4333334,84.78333,8.483334,0.3,1.0,1595.0,0.0,0.0,102.0,10848.0
01063,8697,0.6,15.933333,82.8,0.06666667,0.13333334,3884.0,0.0,0.0,16.0,875.0
01065,15256,1.1833333,40.916668,57.083332,0.21666667,0.38333333,4663.0,0.0,0.0,45.0,3192.0
01067,17252,3.3833334,67.61667,28.133333,0.0,0.0,2606.0,0.0,0.0,85.0,6607.0
01069,103534,3.1454546,62.463634,31.677273,0.3318182,0.5772727,12917.0,0.0,0.0,638.0,32618.0
01071,52860,2.6454546,89.40909,3.1181817,1.1272727,0.37272727,3717.0,0.0,0.0,249.0,19670.0
01073,659026,3.917178,45.24417,48.17362,0.19693251,1.313497,181688.0,0.0,0.0,5317.0,138843.0
01075,14133,1.3666667,86.03333,11.2,0.26666668,0.033333335,978.0,0.0,0.0,41.0,6174.0
01077,92737,2.4681818,80.30909,14.227273,0.4090909,0.8181818,11915.0,0.0,0.0,703.0,31721.0
01079,33586,1.8666667,75.077774,13.566667,5.1444445,0.12222222,3562.0,0.0,0.0,147.0,12322.0
01081,150982,3.2777777,67.41482,24.222221,0.17777778,3.1666667,27860.0,0.0,0.0,1368.0,42221.0
01083,88805,6.675,76.9625,12.98125,0.45625,0.9375,13672.0,0.0,0.0,923.0,34640.0
01085,10742,0.3,23.1,76.25,0.0,0.0,4972.0,0.0,0.0,27.0,1836.0
01087,20018,1.6583333,13.466666,83.49167,0.26666668,0.175,7108.0,0.0,0.0,74.0,1541.0
01089,346438,5.09863,61.62055,27.924658,0.52465755,2.1945205,87286.0,0.0,0.0,4701.0,102780.0
01091,20306,2.0833333,45.65,51.65,0.15,0.1,5488.0,0.0,0.0,69.0,5343.0
01093,30387,1.9875,93.175,2.95,0.2625,0.2625,1463.0,0.0,0.0,139.0,12205.0
01095,94318,11.627778,83.666664,1.9166666,0.40555555,0.5222222,5943.0,0.0,0.0,521.0,33191.0
01097,414251,2.4675438,48.54912,45.323685,0.53157896,1.604386,79474.0,0.0,0.0,2447.0,101243.0
01099,22217,0.9142857,48.114285,48.17143,1.6285714,0.2857143,4455.0,0.0,0.0,66.0,6147.0
01101,228138,3.2923076,36.07077,57.023075,0.1676923,1.8492308,64529.0,0.0,0.0,1299.0,33311.0
01103,119786,8.388889,74.97037,13.240741,0.6259259,0.52962965,13234.0,0.0,0.0,824.0,39664.0
01105,10038,0.73333335,36.333332,62.2,0.033333335,0.33333334,3860.0,0.0,0.0,31.0,1339.0
01107,19856,1.68,57.9,39.7,0.0,0.06,4022.0,0.0,0.0,52.0,5594.0
01109,33155,0.8625,60.2375,35.375,0.9125,1.5,5636.0,0.0,0.0,163.0,8042.0
01111,22648,3.1833334,76.98333,17.483334,0.28333333,0.13333334,2203.0,0.0,0.0,75.0,8559.0
01113,58302,4.1307693,49.93077,42.50769,0.32307693,0.61538464,11228.0,0.0,0.0,237.0,9864.0
01115,85864,2.4692307,86.57692,8.869231,0.3923077,0.72307694,7744.0,0.0,0.0,531.0,36166.0
01117,203530,5.8,77.96809,12.517021,0.5106383,1.8382978,33268.0,0.0,0.0,1982.0,79700.0
01119,13341,0.525,25.4,71.525,0.675,1.625,4648.0,0.0,0.0,45.0,1598.0
01121,81437,2.7318182,61.05909,33.986362,0.27272728,0.44545454,13138.0,0.0,0.0,290.0,22235.0
01123,41153,2.15,67.29,29.54,0.29,0.03,5859.0,0.0,0.0,169.0,14963.0
01125,200458,3.5212767,59.54468,34.053192,0.12765957,1.5382979,37765.0,0.0,0.0,1290.0,51117.0
01127,65923,2.3333333,89.361115,5.822222,0.055555556,0.35,4834.0,0.0,0.0,334.0,26002.0
01129,16997,1.52,68.84,23.28,5.64,0.46,2258.0,0.0,0.0,54.0,6564.0
01131,11235,0.525,22.675,76.775,0.025,0.0,4048.0,0.0,0.0,22.0,1833.0
01133,24130,2.1285715,95.542854,0.35714287,0.21428572,0.14285715,974.0,0.0,0.0,115.0,10195.0
02013,3304,12.0,15.0,9.2,29.0,30.5,2666.0,40.0,308.0,47.0,4652.0
02016,5684,10.25,26.25,3.8,28.35,24.3,4274.0,64.0,210.0,54.0,3516.0
02020,299107,8.452727,60.043636,5.632727,6.798182,8.476363,4881.0,53.0,153.0,27.0,2383.0
02050,17776,1.9666667,13.366667,0.8,77.166664,1.8,0.0,0.0,0.0,0.0,0.0
02060,970,7.1,53.4,0.5,29.0,0.7,0.0,0.0,0.0,0.0,0.0
02068,2060,2.6,84.7,0.6,3.5,2.9,0.0,0.0,0.0,0.0,0.0
02070,4979,3.05,18.45,0.4,70.55,1.4,0.0,0.0,0.0,0.0,0.0
02090,99705,7.478947,70.142105,4.4947367,6.6526318,2.6263158,0.0,0.0,0.0,0.0,0.0
02100,2560,1.5,79.6,0.0,6.4,3.0,0.0,0.0,0.0,0.0,0.0
02105,2128,1.15,34.25,1.15,46.8,1.35,0.0,0.0,0.0,0.0,0.0
02110,32531,6.05,66.45,1.1666666,11.933333,6.233333,0.0,0.0,0.0,0.0,0.0
02122,57221,2.9923077,78.03077,0.47692308,11.923077,1.4076923,0.0,0.0,0.0,0.0,0.0
02130,13699,4.625,66.275,0.425,13.575,6.025,0.0,0.0,0.0,0.0,0.0
02150,13973,7.12,50.94,0.72,13.52,23.14,0.0,0.0,0.0,0.0,0.0
02158,7914,1.0,4.5,0.4,87.4,0.4,0.0,0.0,0.0,0.0,0.0
02164,1474,2.2,21.0,0.5,67.6,3.2,0.0,0.0,0.0,0.0,0.0
02170,96178,4.366667,80.82917,0.9625,5.3875,1.325,0.0,0.0,0.0,0.0,0.0
02180,9854,2.35,19.35,0.9,64.95,1.35,0.0,0.0,0.0,0.0,0.0
02185,9667,3.1,33.5,0.53333336,49.333332,4.133333,0.0,0.0,0.0,0.0,0.0
02188,7732,2.0,13.05,0.35,79.65,0.85,0.0,0.0,0.0,0.0,0.0
02195,3221,9.4,68.6,3.0,5.9,2.3,0.0,0.0,0.0,0.0,0.0
02198,6376,2.65,56.825,0.125,32.65,0.525,0.0,0.0,0.0,0.0,0.0
02220,8943,5.95,62.7,1.15,13.9,5.0,0.0,0.0,0.0,0.0,0.0
02230,999,4.5,75.3,0.0,5.0,10.6,0.0,0.0,0.0,0.0,0.0
02240,7029,3.6,71.3,0.8,15.95,1.65,0.0,0.0,0.0,0.0,0.0
02261,9617,3.5333333,69.63333,0.0,15.833333,3.5,0.0,0.0,0.0,0.0,0.0
02275,2387,1.4,68.5,0.2,17.3,2.5,0.0,0.0,0.0,0.0,0.0
02282,643,2.6,39.3,1.4,32.2,6.7,0.0,0.0,0.0,0.0,0.0
02290,5644,2.1,21.675,0.375,69.5,0.45,0.0,0.0,0.0,0.0,0.0
04001,72124,6.28125,19.15625,0.55,71.875,0.49375,23293.0,0.0,437.0,0.0,11442.0
04003,129647,37.171875,54.146873,2.896875,0.734375,1.678125,23732.0,0.0,1153.0,0.0,35557.0
04005,136701,12.714286,54.92857,1.1714286,27.482143,1.3392857,44698.0,0.0,1522.0,0.0,27052.0
04007,53165,19.95625,65.1,0.45625,12.9125,0.475,8943.0,0.0,342.0,0.0,18377.0
04009,37407,32.0,52.444443,2.211111,11.544444,0.7222222,4034.0,0.0,212.0,0.0,10749.0
04011,9023,46.3,48.2,1.4,2.6333334,0.4,1182.0,0.0,70.0,0.0,2433.0
04012,20335,22.2625,68.425,0.1625,7.35,0.7125,2236.0,0.0,93.0,0.0,5129.0
04013,4018143,29.201862,58.12979,4.901424,1.7875137,3.6398685,1040774.0,0.0,31705.0,0.0,995665.0
04015,203362,15.616279,77.1,0.8697674,3.1348836,1.0930233,24831.0,0.0,1302.0,0.0,78535.0
04017,107656,10.519355,42.119354,0.41612902,44.041935,0.67741936,23383.0,0.0,727.0,0.0,27657.0
04019,998537,33.65104,55.380497,3.0875518,3.0568464,2.5838175,304981.0,0.0,7658.0,0.0,207758.0
04021,389772,30.778667,57.477333,3.888,4.1613336,1.7026666,75106.0,0.0,2791.0,0.0,107077.0
04023,47073,79.96,18.54,0.19,0.14,0.84,13138.0,0.0,224.0,0.0,6194.0
04025,215996,14.019048,81.319046,0.56904763,1.3761904,0.8214286,49602.0,0.0,2092.0,0.0,91527.0
04027,202987,54.798115,39.392452,1.8811321,1.1207547,1.2792453,32210.0,0.0,1137.0,0.0,36534.0
05001,18731,2.5125,74.4,21.8375,0.1125,0.25,1818.0,16.0,46.0,108.0,4304.0
05003,21229,3.9714286,68.78571,26.028572,0.3,0.08571429,2125.0,9.0,25.0,219.0,5548.0
